2018-01-19 12:10AM,2018-01-19 7:32AM,386,56,22,442,52,249,85
2018-01-18 3:44PM,2018-01-18 5:19PM,93,2,0,95,N/A,N/A,N/A
2018-01-17 10:45PM,2018-01-18 8:26AM,504,77,33,581,59,347,98
2018-01-16 11:20PM,2018-01-17 8:00AM,448,72,27,520,66,295,87
2018-01-15 11:12PM,2018-01-16 9:23AM,500,111,40,611,22,428,50
2018-01-15 12:08AM,2018-01-15 10:18AM,514,95,33,609,90,331,93
2018-01-14 3:55PM,2018-01-14 5:36PM,93,8,1,101,N/A,N/A,N/A
2018-01-14 2:57AM,2018-01-14 11:10AM,426,67,25,493,49,319,58
2018-01-13 1:03AM,2018-01-13 11:04AM,518,83,37,601,120,332,66
2018-01-12 4:47PM,2018-01-12 6:08PM,73,4,0,80,N/A,N/A,N/A
2018-01-12 1:10AM,2018-01-12 9:13AM,417,66,36,483,42,282,93
2018-01-10 11:19PM,2018-01-11 7:51AM,455,57,30,512,53,298,104
2018-01-09 11:17PM,2018-01-10 9:08AM,533,58,3,591,N/A,N/A,N/A
2018-01-08 11:04PM,2018-01-09 7:57AM,461,72,30,533,72,302,87
2018-01-08 1:57AM,2018-01-08 10:45AM,467,61,31,528,60,349,58
2018-01-07 5:45PM,2018-01-07 7:02PM,69,7,1,77,N/A,N/A,N/A
2018-01-07 12:10AM,2018-01-07 10:22AM,549,63,43,612,88,341,120
2018-01-06 1:26AM,2018-01-06 10:56AM,486,84,30,570,46,369,71
2018-01-04 11:37PM,2018-01-05 9:16AM,496,82,35,578,64,355,77
2018-01-04 2:46PM,2018-01-04 3:55PM,66,3,1,69,N/A,N/A,N/A
2018-01-03 11:31PM,2018-01-04 9:07AM,486,90,31,576,54,337,95
2018-01-02 10:24PM,2018-01-03 7:47AM,495,67,34,562,42,366,87
2018-01-01 11:12PM,2018-01-02 7:04AM,404,68,25,472,53,293,58
2018-01-01 1:17AM,2018-01-01 10:45AM,517,51,31,568,57,369,91
2017-12-31 3:21PM,2017-12-31 4:27PM,61,4,1,66,N/A,N/A,N/A
2017-12-31 12:29AM,2017-12-31 8:28AM,428,51,25,479,76,291,61
2017-12-30 12:20PM,2017-12-30 2:14PM,105,9,1,114,N/A,N/A,N/A
2017-12-30 12:23AM,2017-12-30 7:42AM,382,57,17,439,92,219,71
2017-12-29 12:19AM,2017-12-29 8:10AM,411,60,3,471,N/A,N/A,N/A
2017-12-27 10:29PM,2017-12-28 7:45AM,502,53,29,555,81,338,83
2017-12-27 12:31AM,2017-12-27 7:11AM,342,57,23,399,44,240,58
2017-12-26 3:41PM,2017-12-26 5:33PM,106,6,0,112,N/A,N/A,N/A
2017-12-26 12:40AM,2017-12-26 9:02AM,449,53,23,502,61,318,70
2017-12-25 12:56AM,2017-12-25 7:19AM,360,23,18,383,30,247,83
2017-12-24 4:14PM,2017-12-24 5:38PM,64,20,0,84,N/A,N/A,N/A
2017-12-23 11:32PM,2017-12-24 8:57AM,507,58,33,565,70,349,88
2017-12-23 1:30AM,2017-12-23 7:48AM,344,33,29,377,34,236,74
2017-12-21 11:40PM,2017-12-22 7:19AM,436,23,3,459,N/A,N/A,N/A
2017-12-20 11:49PM,2017-12-21 8:34AM,446,79,32,525,86,261,99
2017-12-19 11:22PM,2017-12-20 9:34AM,543,69,35,612,76,353,114
2017-12-19 1:39AM,2017-12-19 9:21AM,410,52,27,462,47,275,88
2017-12-18 2:05PM,2017-12-18 3:41PM,91,5,0,96,N/A,N/A,N/A
2017-12-17 10:48PM,2017-12-18 7:24AM,450,66,30,516,31,309,110
2017-12-16 10:39PM,2017-12-17 8:59AM,512,108,32,620,56,360,96
2017-12-16 1:28AM,2017-12-16 8:26AM,383,35,30,418,56,274,53
2017-12-15 4:43PM,2017-12-15 6:06PM,78,5,0,83,N/A,N/A,N/A
2017-12-14 11:06PM,2017-12-15 7:02AM,418,57,22,475,47,285,86
2017-12-14 12:04AM,2017-12-14 7:00AM,373,43,25,416,91,227,55
2017-12-13 4:45PM,2017-12-13 6:20PM,90,5,0,95,N/A,N/A,N/A
2017-12-12 12:06AM,2017-12-12 7:44AM,392,66,22,458,49,278,65
2017-12-11 12:43PM,2017-12-11 2:49PM,124,2,0,126,N/A,N/A,N/A
2017-12-11 12:09AM,2017-12-11 7:47AM,395,63,35,458,12,325,58
2017-12-10 5:49PM,2017-12-10 7:05PM,69,7,1,76,N/A,N/A,N/A
2017-12-10 1:29AM,2017-12-10 10:03AM,464,50,33,514,60,314,90
2017-12-09 4:56PM,2017-12-09 6:11PM,68,7,0,75,N/A,N/A,N/A
